id,weight,destinationHubId,priority
PKG-000246,192.78,WH-069,urgent
PKG-000247,350.21,WH-095,STANDARD
PKG-000248,19.98,WH-031,LOW
PKG-000249,300.88,WH-036,LOW
PKG-000250,376.61,wh-095,URGENT
PKG-000251,308.2415919058556kg,WH-016,standard
PKG-000252,268.04,WH-086, URGENT 
PKG-000253,477.28,WH-048,LOW
PKG-000254,110.77,WH-017,LOW
 PKG-000255 ,482.99,WH-077,URGENT
,336.29,WH-095,STANDARD,
PKG-000257,452.66,WH-060,
PKG-000258,330.86,WH-056,LOW
PKG-000259,350.63,WH-061,LOW
PKG-000260,47.12,WH-097,LOW
PKG-000261,63.53,WH-019,NONE
PKG-000262,236.50,WH-062, LOW 
pkg-000263,311.00,WH-030,URGENT

PKG-000264,90.26,WH-049,LOW
PKG-000265,12.59,WH-094,LOW
PKG-000266,200.64,WH-015, LOW 
PKG-000267,N/A,WH-024,URGENT
PKG-000268,367.72,WH-087,STANDARD
PKG-000269,345.85,WH-080, URGENT 
PKG-000270,174.08,WH-023,urgent
PKG-000271,105.40,WH-065,LOW
PKG-000272,370.55,wh-067
PKG-000273,241.46,WH-006,LOW
PKG-000274,377.57,WH-001,STANDARD
pkg-000275,91.98,wh-090,LOW
PKG-000276,162.51,WH-028,STANDARD
PKG-000277,296.08019256670696kg,WH-052,URGENT
 PKG-000278 ,488.29,WH-032,LOW
PKG-000279,29.02,WH-032,STANDARD
PKG-000280,337.70,WH-041,STANDARD
PKG-000281,371.52,WH-085,STANDARD
PKG-000282,306.52,WH-064,URGENT
 PKG-000283 ,460.98,WH-003,LOW
PKG-000284,80.41,WH-052, LOW 
PKG-000285,280.61,WH-056,URGENT
PKG-000286,131.80,,STANDARD
PKG-000287,79.99,WH-063,URGENT
PKG-000288,76.26, WH-032 ,URGENT
PKG-000289,46.80,wh-078,STANDARD
PKG-000290,25.38,WH-004,URGENT
PKG-000291,145.11,WH-083,LOW
PKG-000292,286.47,WH-009, URGENT 
PKG-000293,13.39,WH-085,LOW
PKG-000294,434.28,WH-100,LOW
PKG-000295,201.43,WH-013,URGENT
PKG-000296,80.37,WH-072,LOW
PKG-000297,304.44,WH-019,URGENT
 PKG-000298 ,107.11,WH-099,LOW
 PKG-000299 ,102.72,WH-044,CRITICAL
PKG-000300,232.19,WH-030,standard
PKG-000301,457.85,WH-080,STANDARD
PKG-000302,335.43,WH-034,STANDARD,
PKG-000303,null,wh-071,STANDARD
PKG-000304,444.86,WH-058,LOW
PKG-000305,166.49,WH-098,URGENT
PKG-000306,423.03,WH-009,LOW
PKG-000307,473.45,WH-061,LOW
 PKG-000308 ,191.76,WH-036,URGENT
PKG-000309,423.71,WH-030,URGENT
PKG-000310,318.72, WH-010 ,STANDARD
PKG-000311,178.96,WH-010,URGENT
PKG-000312,395.94,WH-028,URGENT
PKG-000313,236.17,WH-022,low
,264.15,WH-042,LOW
PKG-000315,50.17,WH-044,STANDARD
PKG-000316,150.59,WH-011,VIP
PKG-000317,53.77,WH-043,STANDARD
PKG-000318,412.90,WH-074,STANDARD
PKG-000319,334.36,WH-085
PKG-000320,477.10,WH-002,STANDARD
PKG-000321,200.35,WH-031,URGENT
 PKG-000322 ,47.01,WH-005,LOW
PKG-000323,89.95,WH-023, STANDARD 
PKG-000324,242.67,WH-032,
PKG-000325,287.99,wh-013,STANDARD
PKG-000326,420.39,WH-039,STANDARD
PKG-000327,20.12,WH-085,STANDARD
PKG-000328,205.44,WH-005,LOW
PKG-000329,198.42,WH-092,URGENT
PKG-000330,108.17,WH-077,LOW
PKG-000331,82.96,WH-091,URGENT
pkg-000332,72.32,wh-026,URGENT
PKG-000333,334.64,WH-005,STANDARD
PKG-000334,6.17,WH-037,LOW
PKG-000335,297.33,WH-076,LOW
PKG-000336,,WH-066,URGENT
pkg-000337,380.22,WH-003,URGENT
PKG-000338,8.93,WH-092,low
PKG-000339,223.90,WH-008,LOW
PKG-000340,360.19,WH-011,URGENT
PKG-000341,,WH-076,STANDARD
PKG-000342,117.32,,standard
PKG-000343,417.92,WH-089,LOW
pkg-000344,308.14,WH-052
PKG-000345,219.07,WH-055,URGENT
PKG-000346,127.35,WH-085,STANDARD
PKG-000347,190.12,WH-028,STANDARD
PKG-000348,402.44,WH-026,URGENT
PKG-000349,278.57,WH-064,URGENT
PKG-000350,495.93,WH-027,STANDARD
PKG-000351,282.57,WH-070,STANDARD
PKG-000352,195.48,WH-079,URGENT
PKG-000353,142.27,WH-080,URGENT
PKG-000354,290.98,wh-067,URGENT
PKG-000355,212.83,WH-006,STANDARD
PKG-000356,461.43,wh-014,STANDARD
PKG-000357,332.02,WH-092,URGENT
PKG-000358,123.60,WH-030,URGENT
PKG-000359, 325.99245753872333 ,WH-010,LOW
PKG-000360,35.71,WH-044,
PKG-000361,175.14,WH-019,STANDARD
PKG-000362,202.05,WH-079,STANDARD
PKG-000363,358.88,wh-014,LOW
PKG-000364,455.39,WH-021,standard
PKG-000365,446.80,WH-001,STANDARD
PKG-000366,59.03,wh-052,STANDARD
PKG-000367,230.30,WH-095,URGENT
PKG-000368,247.76,WH-055,LOW
PKG-000369,384.52,WH-008,standard
PKG-000370,120.79,WH-008,LOW
PKG-000371,151.34,WH-073,URGENT
pkg-000372,436.65,WH-077,low
PKG-000373,4.07,WH-052,STANDARD
PKG-000374,N/A,WH-081,URGENT
PKG-000375,209.87,WH-023,low
PKG-000376,90.07,WH-034,
PKG-000377,378.64,WH-061,URGENT
PKG-000378,,WH-080,LOW

PKG-000379,40.82,WH-069,URGENT
PKG-000380,216.26,WH-008,LOW
PKG-000381,98.44,WH-048,URGENT
PKG-000382,161.30,WH-084,STANDARD

PKG-000383,431.33,WH-065,URGENT
PKG-000384,416.68,WH-038,URGENT
PKG-000385,391.09,WH-049,URGENT
PKG-000386,177.45,WH-082,URGENT
PKG-000387,243.72, WH-066 ,STANDARD
PKG-000388,,WH-058, STANDARD 
PKG-000389,291.60,wh-045,URGENT
PKG-000390,17.27,WH-097,LOW
PKG-000391,182.02,WH-048,LOW
pkg-000392,420.21,,STANDARD
PKG-000393,N/A,WH-021,STANDARD
PKG-000394,78.41,WH-040,VIP
PKG-000395,248.65,WH-030,STANDARD
PKG-000396,181.17913628589307kg,WH-019,LOW
PKG-000397,297.28,WH-043,LOW
PKG-000398,443.21,WH-072,LOW
PKG-000399,201.82,WH-064,URGENT
PKG-000400,337.71, WH-093 ,LOW
PKG-000401,140.35,WH-034,STANDARD
PKG-000402,21.69,WH-098, LOW 
PKG-000403,180.11,,STANDARD
PKG-000404,null,WH-019,STANDARD
PKG-000405,90.11,WH-049,STANDARD
PKG-000406,175.85,WH-086,URGENT
PKG-000407,127.58,WH-092,URGENT,
PKG-000408,391.68,WH-059,LOW
PKG-000409,330.30,WH-023,STANDARD
PKG-000410,470.35,WH-032,LOW
PKG-000411,110.75,WH-091,URGENT
PKG-000412,53.41,WH-016,STANDARD
PKG-000413,314.21,WH-025, URGENT 
PKG-000414,10.11,wh-087,URGENT
PKG-000415,N/A,WH-050,URGENT
PKG-000416,409.21,WH-067,LOW
PKG-000417,221.45,WH-090,URGENT
pkg-000418,28.14,WH-090,LOW
PKG-000419,199.66,WH-039, URGENT ,
PKG-000420,310.93,WH-009,LOW
PKG-000421,339.71,WH-074,urgent
PKG-000422,238.91,WH-072, STANDARD 
PKG-000423,496.05,WH-062
PKG-000424,22.94,WH-027,URGENT
PKG-000425,419.42,WH-080,LOW
PKG-000426,188.44,WH-092
PKG-000427,112.35,WH-014,URGENT
,359.19,WH-028,URGENT
,29.65,WH-091,STANDARD
PKG-000430,144.52,WH-083,LOW
 PKG-000431 ,423.38,WH-027,STANDARD
PKG-000432,327.21,WH-065
PKG-000433,362.82,WH-030,LOW
PKG-000434,N/A,WH-037,STANDARD
PKG-000435,27.04,WH-081,LOW
PKG-000436,218.29,WH-093,STANDARD
PKG-000437,197.61,WH-025,EXPRESS
 PKG-000438 ,53.41,WH-023,URGENT
PKG-000439,86.82,WH-071,LOW
PKG-000440,254.08,WH-008,STANDARD
PKG-000441,253.44,WH-069, STANDARD 
PKG-000442,322.95,WH-081,STANDARD
PKG-000443,387.80,wh-004,LOW
PKG-000444,149.29,,STANDARD
PKG-000445,140.22,WH-039,STANDARD
PKG-000446,461.34,,URGENT

PKG-000447,130.31,WH-049,URGENT
pkg-000448,51.79,WH-043,LOW
PKG-000449,204.97,WH-021,URGENT
PKG-000450,376.60,WH-033
PKG-000451,260.12,,LOW
PKG-000452,177.50,WH-049, LOW 
PKG-000453,476.85,WH-052,STANDARD
PKG-000454,468.02, WH-088 ,STANDARD
PKG-000455,258.33,wh-086,URGENT
PKG-000456,325.61,WH-077,URGENT
PKG-000457,496.91,WH-095,standard
PKG-000458,109.88,wh-076,STANDARD
 PKG-000459 ,197.14,WH-012,CRITICAL
PKG-000460,179.21,WH-099, LOW 
PKG-000461,383.38,WH-010,LOW
PKG-000462,499.82,WH-086,LOW
PKG-000463,50.53,WH-072,LOW
PKG-000464,300.54,WH-079,LOW
PKG-000465,321.10,WH-004,LOW
PKG-000466,470.61,wh-068,URGENT
PKG-000467,240.36,WH-012,LOW
PKG-000468,153.00,WH-090,URGENT
PKG-000469,373.15,WH-033,URGENT
PKG-000470,190.67,WH-076,STANDARD
PKG-000471,434.39,WH-042,LOW
PKG-000472,246.55,WH-059,LOW
PKG-000473,271.17,WH-041,LOW
PKG-000474,319.61,WH-095,STANDARD
PKG-000475,182.68,WH-069,STANDARD
PKG-000476,200.68,WH-096,STANDARD
 PKG-000477 ,344.39, WH-087 ,
PKG-000478,272.01, WH-014 ,URGENT
PKG-000479,0.67,WH-048,STANDARD
PKG-000480,214.93,WH-070,EXPRESS
PKG-000481,441.76,WH-075,NONE
PKG-000482,204.06,WH-098,URGENT
PKG-000483,40.09,WH-095,LOW
PKG-000484,67.45,WH-095,LOW
PKG-000485,469.34,WH-045
PKG-000486,78.92,WH-055,URGENT
PKG-000487,241.09,WH-047,STANDARD
PKG-000488,498.91,wh-071,STANDARD
PKG-000489,439.87,WH-018,LOW
PKG-000490, 313.38294399943345 ,WH-026,URGENT
PKG-000491,104.87,wh-059,LOW
pkg-000492,463.34,WH-004,STANDARD
PKG-000493,111.40, WH-031 ,standard
PKG-000494,63.13,wh-024,STANDARD
PKG-000495,28.28,WH-054,URGENT
PKG-000496,11.21,WH-083,LOW
PKG-000497,474.41,WH-037
PKG-000498,322.32,WH-006,URGENT
PKG-000499,3.01,WH-032,STANDARD
PKG-000500,462.95,WH-002,STANDARD
PKG-000501,55.56,WH-020, LOW ,
PKG-000502,391.18,WH-084,LOW
,389.35,WH-092,URGENT
PKG-000504,223.10162206918972kg,WH-047,LOW
PKG-000505,131.69,WH-063
PKG-000506,, WH-099 ,URGENT
PKG-000507,483.37,WH-051,LOW
PKG-000508,100.34,WH-031,STANDARD
PKG-000509,386.31,WH-077,EXPRESS
PKG-000510,277.96,WH-002, STANDARD 
PKG-000511,165.73,WH-047,LOW
,371.82,WH-071,standard
PKG-000513,378.17,WH-019,VIP
pkg-000514,306.67,WH-094
PKG-000515,228.35,WH-053, STANDARD 
PKG-000516,402.68, WH-038 ,LOW
PKG-000517,278.99,WH-079,LOW
PKG-000518,362.61,WH-015,LOW
PKG-000519,475.68,WH-048,LOW
PKG-000520,19.17,WH-086,LOW
PKG-000521,383.80,WH-077,standard
PKG-000522,261.62,,EXPRESS
PKG-000523,85.90,WH-071, URGENT 
PKG-000524,229.00,WH-029,LOW
pkg-000525,189.97,WH-074,LOW,
PKG-000526,336.09,WH-100,LOW
 PKG-000527 ,83.96,WH-018,STANDARD
PKG-000528,292.84,WH-083,STANDARD
PKG-000529,133.91,WH-051, URGENT 
PKG-000530,69.18,WH-090,URGENT
PKG-000531, 114.24702829442353 ,WH-068,LOW
PKG-000532,337.03,WH-018,STANDARD
,147.08, WH-035 ,STANDARD
PKG-000534,261.68,WH-036,STANDARD
PKG-000535,388.44,WH-072,LOW
PKG-000536,225.07,WH-036,STANDARD
PKG-000537,374.26,WH-086, LOW 
PKG-000538,271.09,WH-054,STANDARD
,297.05,wh-040,URGENT
PKG-000540,488.44,wh-017,
 PKG-000541 ,462.43,WH-025,STANDARD
PKG-000542,355.06,WH-047,URGENT
PKG-000543,454.12,WH-018,STANDARD
PKG-000544,291.32,WH-099,LOW
,417.78, WH-085 ,STANDARD
 PKG-000546 ,441.00,WH-061,LOW
PKG-000547,291.70,WH-082,URGENT

PKG-000548,223.50,WH-094,URGENT
PKG-000549,0.91,WH-016,URGENT
PKG-000550,89.50,WH-017,standard
PKG-000551,454.15,WH-100,STANDARD
PKG-000552,308.79,WH-045,STANDARD
PKG-000553,305.66,wh-058,URGENT
pkg-000554,432.80,WH-019,URGENT
,354.76, WH-009 ,low
PKG-000556,245.22,WH-093,STANDARD
PKG-000557,460.54,WH-032,STANDARD
PKG-000558,408.81,WH-011,URGENT
PKG-000559,462.11,WH-069,URGENT
PKG-000560,433.81,WH-039,CRITICAL
PKG-000561,231.79,WH-066,URGENT
PKG-000562,244.94,WH-097,STANDARD
PKG-000563,81.15, WH-007 
PKG-000564,344.86,WH-072,URGENT
PKG-000565,153.51,WH-062,URGENT
PKG-000566,246.44982835329864kg,WH-073,URGENT
PKG-000567,150.27,WH-017,urgent
PKG-000568,null,WH-089,STANDARD
PKG-000569,120.60,wh-039,URGENT
PKG-000570,232.38,WH-080,LOW
PKG-000571,335.80,WH-015, URGENT 
PKG-000572,20.29,WH-054,STANDARD
PKG-000573,118.22,WH-024,low
PKG-000574,394.50,WH-011,LOW
PKG-000575,456.86,WH-014,VIP
PKG-000576,473.37,WH-054,URGENT,
PKG-000577,52.98,WH-029,LOW
PKG-000578,348.93,WH-050
PKG-000579,280.89,WH-007,LOW
PKG-000580,174.20,WH-056, URGENT 
PKG-000581,101.10,WH-037,URGENT
PKG-000582,261.90,WH-056,URGENT
PKG-000583,32.32,WH-002,URGENT
PKG-000584,23.58,WH-049,URGENT
PKG-000585,395.93,wh-050, STANDARD 
PKG-000586,90.21,WH-057,LOW
PKG-000587,72.05,WH-080,STANDARD
PKG-000588,193.37,WH-085,URGENT
PKG-000589,107.41,WH-020,STANDARD
PKG-000590,50.91,WH-069,URGENT
PKG-000591,441.78,WH-045,URGENT
pkg-000592,426.47,WH-023,LOW
PKG-000593,402.92,WH-009,low
PKG-000594,243.36,WH-033,LOW
PKG-000595,95.40, WH-009 ,LOW
PKG-000596,372.92,WH-076,STANDARD
PKG-000597,113.49,WH-043,LOW
PKG-000598,262.23,WH-068,low
PKG-000599,177.68,WH-058,STANDARD
pkg-000600,354.48,WH-071,LOW
PKG-000601,72.67,WH-089,URGENT
PKG-000602,367.23,wh-039, LOW 
PKG-000603,393.49,WH-006,LOW
PKG-000604,384.17,WH-012,LOW
PKG-000605,486.21,WH-041,URGENT
PKG-000606,386.06,,URGENT
PKG-000607,140.33,WH-057,VIP
PKG-000608,332.51,WH-058,STANDARD
PKG-000609,117.57,WH-057,STANDARD
,334.94, WH-099 ,STANDARD
PKG-000611,46.52,WH-068,LOW
pkg-000612,68.82,WH-011,LOW
PKG-000613,104.76,WH-012,LOW
PKG-000614,471.5670202699475kg,wh-011,URGENT
PKG-000615,235.89,WH-082,LOW
PKG-000616,275.08,WH-027,LOW
PKG-000617,425.86,WH-071,LOW
 PKG-000618 ,356.55,wh-047,URGENT
PKG-000619,342.12,WH-014,STANDARD
PKG-000620,304.16,WH-044,URGENT
PKG-000621,149.73,WH-043,STANDARD
PKG-000622,160.64,WH-025,LOW
PKG-000623,,WH-024,LOW
PKG-000624,107.11,WH-036,LOW
PKG-000625,490.08,WH-039,URGENT
PKG-000626,356.38,WH-024,STANDARD
PKG-000627,39.81,WH-058,LOW
PKG-000628,403.99,WH-060,URGENT
pkg-000629,null, WH-079 ,URGENT
PKG-000630,84.62,WH-035,LOW
PKG-000631,389.33,wh-004,URGENT
PKG-000632,348.79, WH-037 ,URGENT
PKG-000633,481.73,WH-029,URGENT
PKG-000634,89.81,WH-004,URGENT
PKG-000635, 435.76546651692394 ,WH-074,urgent
PKG-000636,124.64,wh-089,LOW
PKG-000637,19.04,WH-049,URGENT
PKG-000638,131.04,WH-082,STANDARD
 PKG-000639 ,156.35,WH-019,URGENT
PKG-000640,0.99,WH-074,STANDARD
PKG-000641, 56.10951314967961 ,WH-077,LOW
PKG-000642, 138.49405871777014 ,WH-078,STANDARD
PKG-000643,9.84,WH-020,STANDARD
PKG-000644,48.74,WH-082,LOW
PKG-000645,237.52,WH-011,LOW
PKG-000646,222.42,WH-069,STANDARD
PKG-000647,127.98,WH-027,LOW
PKG-000648,96.68,WH-016,STANDARD
PKG-000649,375.21,WH-089,STANDARD
 PKG-000650 ,298.3714076904129kg,WH-079,LOW
PKG-000651,null,WH-073,URGENT
PKG-000652,9.08,WH-068,URGENT
PKG-000653,466.63,wh-006,STANDARD
PKG-000654,184.08,WH-042,STANDARD
pkg-000655,19.00,WH-068,STANDARD
PKG-000656,447.69,WH-082, STANDARD 
PKG-000657,288.99,WH-010,URGENT
PKG-000658,N/A,WH-099,URGENT
PKG-000659,11.15,WH-016,URGENT
PKG-000660,474.38,WH-075,STANDARD
PKG-000661,454.34,WH-080,URGENT
PKG-000662,202.37,WH-091,
PKG-000663,277.80,WH-025,URGENT
PKG-000664,28.98,WH-088,URGENT
 PKG-000665 ,198.34,WH-052,LOW

